,1772760175,4891270191,5586420191,5763460809,5969140108,5972870167,6979250345,6993220124,7428910108,7504850132,7912530167,12504970710,17292920116,19189420175,20525650167,24472530116,24588270108,27000520141,31110820175,35903700183,39498670116,41046640116,43088160132,43102910132,44484830167,45048870183,46202420116,46946170191,47291940108,49427920108,51007490159,51341200141,52303690116,54881950116,62644550167,64508800132,70424250108,73433520175,75084950132,78025840124,79999180124,83386310191,83513810175,86116120167,86345260159,86961760141,89522030167,93728690175,94619840116,97310820141,97564300132,100632050108,101524600191,103324530141,104635880167,105809600183,107672700175,107865040116,110432430167,111231210132,111609190141,112574690167,114611170337,116338510124,116344770167,121119160159,128526260124,134254890191,141623070116,142330690183,147444770124,148002880191,153032620167,154945340108,158131590124,167921720108,169948830183,170138260175,172108630124,176810780116,179568170159,187243400191,221538820183,229107050124,242012030159,249907390191,254227660108,256692110141,260155360159,261954740116,267135370183,268838720116,281406850159,299018120116,307067120124,314793880175,353942970191
61000,1,22,37,4,14,782,1,0,48,114,0,444,0,0,0,46,0,0,0,0,122,396,0,21,488,2,0,12,1,1,26,162,4,0,13,133,2,26,1,5,178,25,4,2,30,2,0,1,185,5,0,29,119,1,7,0,4,10,10,0,0,0,1,0,0,0,18,12,0,9,0,0,37,0,1,0,3,0,22,6,82,1,0,4,7,14,0,86,0,3,0,0,0,0,0,3,102
61018,28,1,285,20,130,17,0,103,205,280,59,401,0,0,2,74,10,2,29,233,765,39,9,82,1887,7,12,40,4,0,121,304,111,46,4,65,49,16,160,75,5,154,12,5,9,3,16,4,400,23,7,101,1,67,107,3,38,23,27,6,145,4,36,0,0,62,32,30,0,1,1,0,52,0,1,4,334,220,223,11,167,10,5,5,2392,7,2,84,33,21,4,1,0,4,5,15,1
61026,0,4,3,0,3,241,0,0,1,12,0,18,0,0,0,19,0,0,0,2,1,64,0,0,0,1,0,221,13,0,19,1,0,0,0,4,0,0,2,1,51,4,5,1,12,1,0,0,0,0,0,2,1,0,24,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,21,0,0,0,9,0,0,7,0,0,0,1,0,2,0,1,59
61034,4,2,5,24,6,1,0,0,19,58,0,81,0,439,1,33,0,0,0,5,12,0,0,0,3,2,0,1,0,0,3,25,1,1,145,4,0,1,0,0,1,3,3,11,441,0,0,1,1,15,0,0,66,8,44,8,2,2,8,7,6,0,0,0,0,0,1,0,41,0,0,1,1,0,0,0,431,2,0,4,22,7,0,3,0,1,0,22,3,0,0,3,0,7,3,3,0
61042,3,0,236,4,23,3,0,23,1392,163,1076,333,1,0,0,93,8,2,0,68,3,0,0,37,710,0,0,107,0,0,88,113,2,2,2,11,39,10,51,2,0,10,11,7,187,2,0,1,2,1,0,1,3,11,96,1,2,5,80,0,117,0,8,7,35,4,30,0,0,1,2,12,9,2,0,0,340,0,36,93,224,13,24,5,13,4,1,415,3,2,0,4,0,0,1,2,0
61050,84,10,100,17,101,12,0,0,70,1962,9,1056,177,3,4,185,819,4,7,65,30,10,399,9,2364,9,1,5,1,3,188,47,0,5,6,71,2,29,5,17,847,131,24,9,536,18,12,11,0,15,23,10,3,94,117,4,100,47,358,0,131,0,42,1,3,61,213,0,2,4,1,1,33,6,0,2,9,4,6,803,203,61,219,13,48,1,3,65,123,42,0,7,1,73,1,24,52
61069,1,0,8,1,4,8,0,0,373,64,0,125,1,1,0,17,0,5,0,10,140,0,20,21,0,1,0,0,0,148,36,9,1,48,3,6,0,3,259,4,1,15,3,2,35,3,1,4,0,1,0,0,0,5,60,0,2,2,2,0,11,0,2,0,0,4,82,0,0,12,0,0,3,0,0,1,61,16,3,304,90,4,0,2,0,0,0,2,0,3,0,2,0,104,0,0,0
61077,18,0,9,16,20,2,0,0,4,205,3,107,25,1,0,28,0,2,0,8,12,6,7,4,1112,4,0,0,1,1,18,2,18,2,0,19,0,21,0,8,1114,22,4,6,7,4,5,4,0,0,7,237,0,18,25,1,16,26,8,0,37,0,18,0,0,5,21,1,2,8,0,0,8,1,0,0,1,0,3,8,43,24,26,0,4,0,0,36,1,3,0,3,0,0,0,4,0
61085,8,4,16,0,14,1,0,0,12,71,1,67,0,0,0,27,14,0,1,0,15,3,0,0,10,1,0,72,7,0,9,7,0,0,0,7,2,3,95,51,279,65,16,0,3,1,0,4,1,14,0,0,2,6,6,0,1,1,22,0,3,0,2,0,2,1,369,1,0,49,0,0,2,0,0,0,2,1,2,83,45,3,1,3,17,3,0,10,0,0,0,1,0,3,59,5,0
61093,259,1,50,25,79,537,0,113,30,535,1,311,804,0,0,55,10,4,2,23,20,2,0,5,27,7,1,0,1,0,47,4,5,685,0,16,5,8,7,19,43,74,18,17,14,43,4,9,0,1,26,10,1,33,169,1,157,45,75,0,8,1,38,0,1,58,461,6,0,4,3,3,34,0,0,3,7,19,2,82,99,12,204,19,0,12,5,14,1546,6,0,7,2,13,14,8,1
61107,1,1,41,1,8,29,0,0,71,48,1,89,1,0,0,38,0,13,15,5,1170,0,5,17,0,1,3,0,0,238,33,2,0,63,15,3,0,3,0,3,12,15,17,1,9,1,2,8,1,5,2,2,0,4,1,1,1,0,9,0,38,1,8,0,0,9,12,0,0,0,0,0,2,22,0,11,24,2,0,204,51,1,0,2,0,0,0,5,5,23,0,0,0,39,0,122,0
